[Mon Jan 17 01:17:50.703145 2022] [:error] [pid 27488:tid 1316] [client ::1:57863] PHP Notice:  Undefined index: planta in C:\\Users\\Jessi\\Git\\PlantoterapiaSite\\USBWebserver\\root\\adicionarplanta.php on line 10, referer: http://localhost:8080/adicionarplanta.php
[Mon Jan 17 01:19:00.031827 2022] [:error] [pid 27488:tid 1316] [client ::1:57870] PHP Notice:  Undefined index: planta in C:\\Users\\Jessi\\Git\\PlantoterapiaSite\\USBWebserver\\root\\adicionarplanta.php on line 10, referer: http://localhost:8080/adicionarplanta.php
[Mon Jan 17 01:19:21.071034 2022] [:error] [pid 27488:tid 1316] [client ::1:57873] PHP Notice:  Undefined index: planta in C:\\Users\\Jessi\\Git\\PlantoterapiaSite\\USBWebserver\\root\\adicionarplanta.php on line 10, referer: http://localhost:8080/adicionarplanta.php
[Mon Jan 17 01:21:20.416775 2022] [:error] [pid 27488:tid 1316] [client ::1:61430] PHP Notice:  Undefined variable: planta in C:\\Users\\Jessi\\Git\\PlantoterapiaSite\\USBWebserver\\root\\adicionarplanta.php on line 24, referer: http://localhost:8080/adicionarplanta.php
[Mon Jan 17 01:21:20.421763 2022] [:error] [pid 27488:tid 1316] [client ::1:61430] PHP Notice:  Array to string conversion in C:\\Users\\Jessi\\Git\\PlantoterapiaSite\\USBWebserver\\root\\home.php on line 48, referer: http://localhost:8080/adicionarplanta.php
[Mon Jan 17 01:22:04.284865 2022] [:error] [pid 27488:tid 1316] [client ::1:61434] PHP Notice:  Array to string conversion in C:\\Users\\Jessi\\Git\\PlantoterapiaSite\\USBWebserver\\root\\home.php on line 48
[Mon Jan 17 01:23:05.988252 2022] [:error] [pid 27488:tid 1316] [client ::1:61445] PHP Notice:  Array to string conversion in C:\\Users\\Jessi\\Git\\PlantoterapiaSite\\USBWebserver\\root\\home.php on line 43
[Mon Jan 17 01:23:05.988252 2022] [:error] [pid 27488:tid 1316] [client ::1:61445] PHP Notice:  Array to string conversion in C:\\Users\\Jessi\\Git\\PlantoterapiaSite\\USBWebserver\\root\\home.php on line 49
[Mon Jan 17 01:23:20.348868 2022] [:error] [pid 27488:tid 1316] [client ::1:61449] PHP Catchable fatal error:  Object of class mysqli_result could not be converted to string in C:\\Users\\Jessi\\Git\\PlantoterapiaSite\\USBWebserver\\root\\home.php on line 43
[Mon Jan 17 01:25:48.466035 2022] [:error] [pid 27488:tid 1316] [client ::1:61481] PHP Fatal error:  Call to undefined method mysqli_result::setImageFormat() in C:\\Users\\Jessi\\Git\\PlantoterapiaSite\\USBWebserver\\root\\home.php on line 41
